110;225;6074.0;4306.0
146;225;6074.0;4307.0
384;226;6074.0;4308.0
620;228;6074.0;4309.0
857;230;6074.0;4310.0
1093;232;6074.0;4311.0
1330;235;6074.0;4312.0
1567;236;6074.0;4313.0
1803;238;6074.0;4314.0
2016;239;6074.0;4315.0
110;376;6073.0;4306.0
152;374;6073.0;4307.0
389;366;6073.0;4308.0
625;358;6073.0;4309.0
853;351;6073.0;4310.0
1098;343;6073.0;4311.0
1334;334;6073.0;4312.0
1570;327;6073.0;4313.0
1806;319;6073.0;4314.0
2016;311;6073.0;4315.0
109;613;6072.0;4306.0
161;610;6072.0;4307.0
399;603;6072.0;4308.0
635;595;6072.0;4309.0
871;587;6072.0;4310.0
1108;579;6072.0;4311.0
1344;571;6072.0;4312.0
1579;564;6072.0;4313.0
1816;556;6072.0;4314.0
2016;549;6072.0;4315.0
109;849;6071.0;4306.0
171;847;6071.0;4307.0
408;839;6071.0;4308.0
644;831;6071.0;4309.0
881;823;6071.0;4310.0
1117;815;6071.0;4311.0
1353;808;6071.0;4312.0
1589;800;6071.0;4313.0
1825;792;6071.0;4314.0
2016;786;6071.0;4315.0
108;1086;6070.0;4306.0
181;1083;6070.0;4307.0
418;1075;6070.0;4308.0
653;1067;6070.0;4309.0
890;1060;6070.0;4310.0
1127;1051;6070.0;4311.0
1362;1042;6070.0;4312.0
1598;1035;6070.0;4313.0
1834;1027;6070.0;4314.0
2016;1022;6070.0;4315.0
108;1324;6069.0;4306.0
190;1321;6069.0;4307.0
427;1312;6069.0;4308.0
663;1304;6069.0;4309.0
899;1297;6069.0;4310.0
1136;1289;6069.0;4311.0
1372;1282;6069.0;4312.0
1608;1274;6069.0;4313.0
1843;1265;6069.0;4314.0
2017;1260;6069.0;4315.0
108;1560;6068.0;4306.0
200;1557;6068.0;4307.0
436;1549;6068.0;4308.0
672;1541;6068.0;4309.0
909;1532;6068.0;4310.0
1145;1525;6068.0;4311.0
1382;1517;6068.0;4312.0
1618;1509;6068.0;4313.0
1854;1502;6068.0;4314.0
2017;1496;6068.0;4315.0
108;1797;6067.0;4306.0
210;1793;6067.0;4307.0
446;1785;6067.0;4308.0
682;1778;6067.0;4309.0
919;1769;6067.0;4310.0
1155;1761;6067.0;4311.0
1391;1753;6067.0;4312.0
1628;1746;6067.0;4313.0
1863;1739;6067.0;4314.0
2017;1733;6067.0;4315.0
109;2033;6066.0;4306.0
221;2030;6066.0;4307.0
456;2021;6066.0;4308.0
692;2014;6066.0;4309.0
928;2006;6066.0;4310.0
1164;1998;6066.0;4311.0
1400;1990;6066.0;4312.0
1673;1982;6066.0;4313.0
1873;1975;6066.0;4314.0
2016;1970;6066.0;4315.0
108;2270;6065.0;4306.0
229;2266;6065.0;4307.0
466;2257;6065.0;4308.0
702;2250;6065.0;4309.0
938;2242;6065.0;4310.0
1174;2234;6065.0;4311.0
1409;2226;6065.0;4312.0
1647;2219;6065.0;4313.0
1882;2211;6065.0;4314.0
2017;2207;6065.0;4315.0
108;2422;6064.0;4306.0
236;2423;6064.0;4307.0
473;2426;6064.0;4308.0
709;2427;6064.0;4309.0
945;2429;6064.0;4310.0
1181;2431;6064.0;4311.0
1417;2433;6064.0;4312.0
1655;2436;6064.0;4313.0
1891;2437;6064.0;4314.0
2015;2437;6064.0;4315.0
